trial_id,config,error_type,error_message,error_traceback
9868e891,"{'batch_size': 64, 'num_HL': 8, 'latent_dim': 19, 'opt_lr': 0.0009839113864583472, 'opt_wd': 9.949639223729913e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
140c5293,"{'batch_size': 64, 'num_HL': 5, 'latent_dim': 51, 'opt_lr': 0.0009338016821159924, 'opt_wd': 1.986495217726794e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
498ea2cb,"{'batch_size': 128, 'num_HL': 4, 'latent_dim': 77, 'opt_lr': 0.00016654259026796257, 'opt_wd': 1.5513224515364377e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
0448b841,"{'batch_size': 128, 'num_HL': 6, 'latent_dim': 32, 'opt_lr': 0.00012030610119837035, 'opt_wd': 2.8102088193491696e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
b66b197b,"{'batch_size': 256, 'num_HL': 6, 'latent_dim': 64, 'opt_lr': 0.00044791294306272694, 'opt_wd': 4.4386600516658284e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
707de2a4,"{'batch_size': 64, 'num_HL': 7, 'latent_dim': 28, 'opt_lr': 3.483737879024714e-05, 'opt_wd': 6.729712553942626e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
0323f1ff,"{'batch_size': 32, 'num_HL': 4, 'latent_dim': 35, 'opt_lr': 5.313086789345557e-05, 'opt_wd': 6.793819051125284e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
c748fc62,"{'batch_size': 64, 'num_HL': 2, 'latent_dim': 51, 'opt_lr': 0.000260536318957625, 'opt_wd': 7.286539319944331e-07}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
28e12d80,"{'batch_size': 256, 'num_HL': 7, 'latent_dim': 9, 'opt_lr': 0.0005934114981875711, 'opt_wd': 7.183351910211943e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
83473c42,"{'batch_size': 32, 'num_HL': 4, 'latent_dim': 63, 'opt_lr': 0.0002606183599816851, 'opt_wd': 1.764663217929179e-06}",<class 'TypeError'>,string indices must be integers,"  File ""/home/darlinne.soto/new_framework/ray-tune-search/hyperparameters_search.py"", line 119, in my_objective_function
    result = h_search_unit(

  File ""/home/darlinne.soto/new_framework/ray-tune-search/h_search_unit.py"", line 37, in h_search_unit
    score = process_result(experiment_result)[-1]['accuracy']

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in process_result
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]

  File ""/home/darlinne.soto/new_framework/ray-tune-search/basic/helper.py"", line 49, in <listcomp>
    [x[""accuracy""] for r in report[""results""][""runs""] for x in r[""result""]]
"
